Name, Image, Virtuals
Seraphina, https://s3.ap-southeast-1.amazonaws.com/virtualprotocolcdn/seraphina_672fab1dad.png, 52739502
Ignis, https://s3.ap-southeast-1.amazonaws.com/virtualprotocolcdn/ignis_725e2fd945.png, 45644637
Luna, https://s3.ap-southeast-1.amazonaws.com/virtualprotocolcdn/name_6e2efdbf93.png, 44704196
Iona, https://s3.ap-southeast-1.amazonaws.com/virtualprotocolcdn/name_61ae87d9d4.png, 39763020
Iris, https://s3.ap-southeast-1.amazonaws.com/virtualprotocolcdn/name_9b124ffa61.png, 15017671
TOSHI, https://s3.ap-southeast-1.amazonaws.com/virtualprotocolcdn/name_1e16aa7c44.jpeg, 10074792
Olyn, https://s3.ap-southeast-1.amazonaws.com/virtualprotocolcdn/name_7b979cd0a7.png, 4044740
Gaia, https://s3.ap-southeast-1.amazonaws.com/virtualprotocolcdn/gaia_ebef867621.png, 2813020
Base God, https://s3.ap-southeast-1.amazonaws.com/virtualprotocolcdn/name_c4b8c2b01a.jpeg, 1897430
Verse Programmer , https://s3.ap-southeast-1.amazonaws.com/virtualprotocolcdn/name_f99f28188b.png, 1550438
CSGO Coach, https://s3.ap-southeast-1.amazonaws.com/virtualprotocolcdn/name_2cd7a78e49.png, 1131930
NORMIE, https://s3.ap-southeast-1.amazonaws.com/virtualprotocolcdn/name_822d707c51.jpeg, 505057
Rosé, https://s3.ap-southeast-1.amazonaws.com/virtualprotocolcdn/rose_ba1f5fd5d7.png, 300420
Piper, https://s3.ap-southeast-1.amazonaws.com/virtualprotocolcdn/name_13bedf9c48.png, 69714
John Wick, https://s3.ap-southeast-1.amazonaws.com/virtualprotocolcdn/john_Wick_7e7d71712c.png, 9049453
Ariana Grande, https://s3.ap-southeast-1.amazonaws.com/virtualprotocolcdn/ariana_Grande_437c24d737.png, 48303
Dota 2 Coach, https://s3.ap-southeast-1.amazonaws.com/virtualprotocolcdn/dota2_bd850b6ab5.png, 28215
Tiktok Streamer, https://s3.ap-southeast-1.amazonaws.com/virtualprotocolcdn/name_f0fec21507.png, 23500
Riley Walker, https://s3.ap-southeast-1.amazonaws.com/virtualprotocolcdn/Qm_X6_Qx_X4g4amypqp_TL_5192x_L65_K_Ps_Cqba_WP_Vinp_Jt_Wnmn_R_f89a0f7aac.png, 14255
Brock, https://s3.ap-southeast-1.amazonaws.com/virtualprotocolcdn/name_a6ba0853be.png, 13007
Zhongli, https://s3.ap-southeast-1.amazonaws.com/virtualprotocolcdn/zhong_Li_bc875c5373.png, 9298
Thor Odinson, https://s3.ap-southeast-1.amazonaws.com/virtualprotocolcdn/thor_9f18d96b13.png, 8450
BRETT, https://s3.ap-southeast-1.amazonaws.com/virtualprotocolcdn/name_3c78bb6a65.jpeg, 8168
Raiden Shogun, https://s3.ap-southeast-1.amazonaws.com/virtualprotocolcdn/raiden_Shogun_6976af5bc0.png, 8098
Gaming D&D, https://s3.ap-southeast-1.amazonaws.com/virtualprotocolcdn/name_b306c0c4eb.png, 7756
